"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"CD55"	-0.165571026321408	0.513276182056421	-17.0553396629616	5.86211651153253e-65	1.52033991726596e-62	132.985902608031
"ANKRD37"	-0.157698877419046	0.46587214751987	-16.8311851693151	2.5682255443756e-63	6.59474549439417e-61	129.218952687215
"CD48"	0.175396676497761	0.797332444033745	16.798047911684	4.47209832181088e-63	1.13709676447221e-60	128.666235739256
"UBA52"	0.173495486318725	2.3924529523187	16.6870047991427	2.8465190177681e-62	7.16742434231221e-60	126.82189240135
"DUSP2"	-0.25728824674498	1.77752679996763	-16.6790173619437	3.25036082077206e-62	8.10558729680032e-60	126.689691107235
"JAML"	0.101464901785959	0.205690680920148	16.5952678605553	1.30147755129326e-61	3.21464955169435e-59	125.307291263401
"MALAT1"	0.155183681394028	5.79063620385408	16.5752668430828	1.81087411526355e-61	4.43066228107172e-59	124.978160388302
"H2AFX"	-0.145522387235428	0.459132967162578	-16.5275934790212	3.97310581560157e-61	9.63014012407727e-59	124.1952370188
"SNHG12"	-0.144408275984887	0.453551046024867	-16.5041532517243	5.84199304803715e-61	1.40288971945225e-58	123.811100271935
"RPS6"	0.147564331250683	3.35402872465867	16.4920901761165	7.12255348880229e-61	1.694710318643e-58	123.613620644066
"TXNIP"	0.236433581919587	1.2798671166372	16.4689800656974	1.04079083126753e-60	2.45390092808396e-58	123.235691612149
"HMGB1"	0.199143248701133	1.5868484655895	16.4167357201419	2.44864902437139e-60	5.72123535559208e-58	122.383241697815
"S100A6"	0.204236440736318	1.58756759222678	16.4105353393463	2.70986220418404e-60	6.27502466656367e-58	122.282249617733
"HCST"	0.200259086796661	1.23950124220211	16.3926347124994	3.63031730550446e-60	8.33206011666002e-58	121.990894183355
"HSPA8"	-0.20508472700658	2.64266257108713	-16.3471172217418	7.62538417614027e-60	1.73477490007191e-57	121.251449612026
"LCK"	0.175178239371798	0.86014933515202	16.3430757897889	8.14399425794938e-60	1.83664774852102e-57	121.185893267957
"TRGC2"	0.0889784192704935	0.13265724021291	16.341546537949	8.34927047123742e-60	1.86670973854778e-57	121.161091332078
"PTGES3"	-0.185907910172091	1.04792492421637	-16.3334928124686	9.51849222764705e-60	2.1099324437951e-57	121.030510937238
"IFRD1"	-0.146964273715884	0.485913729188836	-16.3325413380399	9.66698144056859e-60	2.12468782763683e-57	121.015088237974
"RPL38"	0.199386995310823	1.81097477978687	16.2783207508287	2.33216182233418e-59	5.08274091279301e-57	120.137674374108
"VAMP8"	0.156346385635297	0.677575654348769	16.18322332679	1.08534038330093e-58	2.34569190340914e-56	118.60571947364
"RPL18A"	-0.162928856806024	3.41364944120709	-16.1145513447201	3.2766203532826e-58	7.02307015391605e-56	117.50495835693
"CD63"	0.152836010707936	0.539718037131344	16.0885763911316	4.97063260674479e-58	1.05666685783546e-55	117.089801090427
"ACAP1"	0.166121976633737	0.808435854351672	16.0575547363335	8.16934149159332e-58	1.72253554133718e-55	116.594847093741
"ZFAS1"	-0.183711866816053	1.13108726302567	-15.8580419443116	1.95071683993655e-56	4.07998719707696e-54	113.434094647913
"GADD45B"	-0.203038701903402	0.849458795231557	-15.8392219534296	2.62610298565514e-56	5.44863847463727e-54	113.137951915732
"APOBEC3C"	0.110585840844657	0.282754257818024	15.7166123484512	1.80644096936206e-55	3.71825766193691e-53	111.217109611269
"ZFAND5"	-0.148906843197332	0.578665540629343	-15.5445096201104	2.64040660967262e-54	5.39204294660311e-52	108.545720464545
"UBE2B"	-0.161066602267239	0.765532845821242	-15.4705376983509	8.28861214314194e-54	1.67941528072177e-51	107.406437167188
"NR4A2"	-0.216637228647278	1.37966198224195	-15.4148206038482	1.95505479493144e-53	3.93056946562378e-51	106.551846078487
"TNFRSF4"	-0.136632633497595	0.343480839426606	-15.3803353853297	3.32018725607146e-53	6.62377357586256e-51	106.024434224897
"RPL27"	0.171995691369309	2.25147371778651	15.3536148841872	5.00071303564843e-53	9.90026660912535e-51	105.61657607319
"PTP4A1"	-0.131610983945416	0.421811256502307	-15.3200431667736	8.35754358119441e-53	1.6420673695324e-50	105.105133634014
"PSME2"	0.167276799590075	0.899389715054426	15.3160134893301	8.88831152697385e-53	1.7332207477599e-50	105.043818465562
"PSME1"	0.176415227723626	1.28464176839566	15.3154602489401	8.9637552449545e-53	1.73488800207384e-50	105.035401657607
"SNHG8"	-0.153320568942159	0.659854800407206	-15.3149147791901	9.03876357197622e-53	1.73644691288299e-50	105.027103363155
"LDHB"	0.179057306309986	1.16114392580959	15.273182308797	1.70851285638538e-52	3.25810889193786e-50	104.393087063915
"FAAH2"	-0.0796793054709704	0.133817454868264	-15.2725157831001	1.72595115211682e-52	3.26733891460947e-50	104.382974789252
"YPEL5"	-0.203112308593613	1.35779748666136	-15.2683047459282	1.84029574889488e-52	3.45855581504267e-50	104.319096598983
"TSC22D3"	-0.218053799938297	2.3769349185622	-15.2280832106232	3.39315784416305e-52	6.33104666822796e-50	103.709842761817
"CAPG"	0.114255456404769	0.312691396951314	15.1786925083979	7.17723125056474e-52	1.32958208916712e-49	102.963868739946
"GZMB"	0.184268687035375	0.54153637914426	15.1675879576834	8.49109892571371e-52	1.56182021729351e-49	102.796480098057
"KLF6"	-0.226475332039697	2.06592630740006	-15.1637044568339	9.00499906161857e-52	1.64468063847238e-49	102.737969213316
"TYROBP"	-0.11930797016803	0.230745139971064	-15.1479444542272	1.14283162967803e-51	2.07268100109788e-49	102.500672413178
"RPS27"	0.108040715108751	4.11105549954928	15.0619494641273	4.17706124921098e-51	7.52306135404768e-49	101.210144370583
"LSP1"	0.177510872304889	1.0500696502341	15.0434130751821	5.51812847999237e-51	9.86983876748981e-49	100.932918568746
"RPS15A"	0.10694125863336	3.71755900821311	15.0024779594063	1.01932646080249e-50	1.81070080554196e-48	100.321896571784
"NR4A3"	-0.130502199634158	0.394776812266576	-14.9587880370498	1.95878564419877e-50	3.45585752940783e-48	99.6715678976693
"CD83"	-0.107840584156919	0.253901294168777	-14.9555341398045	2.05627739254324e-50	3.60334825510871e-48	99.6232082433981
"NMB"	-0.0864774218516483	0.138537661373051	-14.9262589908805	3.18176795064488e-50	5.53819810738086e-48	99.1885859695601
"CXCR3"	0.12145247371499	0.387990195057194	14.9188907083632	3.55081854641483e-50	6.13936526675124e-48	99.0793280245511
"H3F3C"	-0.0796045816684206	0.13289108327345	-14.9158533285628	3.71508147925684e-50	6.38083696453816e-48	99.0343048267132
"INSIG1"	-0.12975721638969	0.4022298467604	-14.9054012608908	4.34032332338178e-50	7.40567667052017e-48	98.8794425861287
"GPX1"	-0.145839213556013	0.601767811104442	-14.8696653259276	7.38142660635249e-50	1.25122417670426e-47	98.3507736010224
"ZFAND2A"	-0.133615807403538	0.409977971938302	-14.8424624751546	1.10491283075316e-49	1.86077365360929e-47	97.9491809829116
"TRAF3IP3"	0.131894804336916	0.50213738687903	14.8341871941384	1.24899001752076e-49	2.08984232931618e-47	97.8271579822419
"EVI2B"	0.0986833014500797	0.240983625393937	14.782264118681	2.69086831922664e-49	4.46603979654896e-47	97.063060863134
"SLC25A3"	-0.16321788152314	1.01188524581556	-14.7819452472487	2.70355985370421e-49	4.46603979654896e-47	97.0583765425772
"FUS"	-0.175204766266815	1.35449037854876	-14.7221841287248	6.51874338968811e-49	1.07002284690861e-46	96.182229024483
"PSMB9"	0.171559967668994	1.06236821538005	14.6653499633416	1.50060142853027e-48	2.44767912257437e-46	95.3522451951665
"HLA-DRB1"	0.173493421047097	0.845556939511553	14.4711166917861	2.5317182928697e-47	4.10375712034848e-45	92.5396777258598
"NEDD8"	0.123371400127714	0.47498287158977	14.4700422309907	2.57133818702457e-47	4.14209042735915e-45	92.5242221848261
"RPS5"	-0.14933504715804	2.67486813126104	-14.432412940573	4.42618076866598e-47	7.0859875453921e-45	91.9836602974495
"AC090498.1"	-0.181058568491372	1.29197424724593	-14.4305458036673	4.54691862366736e-47	7.23462174876153e-45	91.9568742430297
"GK"	-0.0927379744774536	0.190693056820244	-14.4296557195994	4.6056239149707e-47	7.28334489236372e-45	91.9441062506353
"PPP1CA"	0.137805978209834	0.614690915792615	14.4276937540421	4.73770249206806e-47	7.44680691707788e-45	91.9159651838538
"HOPX"	0.141196973304688	0.47789365719303	14.422947511664	5.07301606106535e-47	7.92582358697168e-45	91.8479040276696
"RELB"	-0.110454117722464	0.346213644582557	-14.4169569481521	5.53015203909179e-47	8.58829300202668e-45	91.7620308856526
"RPL10A"	0.152552056085396	2.60672402620152	14.3650036159007	1.1669839989276e-46	1.80153154834448e-44	91.0187722138953
"EIF5"	-0.156739649914055	0.901205721484827	-14.3593666028821	1.26527821722607e-46	1.94171541797385e-44	90.9382870129223
"SARAF"	-0.177668621313337	2.22307712013387	-14.323230349558	2.12329673511472e-46	3.23927651912943e-44	90.4230755663781
"LAG3"	0.11320018649658	0.309552016863044	14.3113373352617	2.51699748725806e-46	3.81744618900806e-44	90.2537919135182
"GIMAP4"	0.127240411802868	0.462953155557372	14.3025771617183	2.85270707319262e-46	4.30145104321224e-44	90.1291896013089
"MARCKSL1"	-0.115674339478308	0.372907778148674	-14.2558211277945	5.55802823197405e-46	8.33222324833798e-44	89.4654198413546
"MAP1LC3B"	-0.142644395022683	0.698329224471074	-14.2426255097209	6.70660041793474e-46	9.99630355397342e-44	89.2784775806771
"RAC2"	0.177451118226147	1.39206003795762	14.2247719204452	8.64498477042674e-46	1.28118674297724e-43	89.0258182433086
"PELI1"	-0.106008057869496	0.299673137308957	-14.2031502946861	1.17521078421208e-45	1.73176657321252e-43	88.7202540387938
"RPL15"	0.121920016779375	3.08059991985957	14.1894295822658	1.42769482955822e-45	2.09193589856455e-43	88.52658653323
"HSP90AA1"	-0.209696732127353	2.88795835126715	-14.1576363225739	2.23962154931661e-45	3.26317892592845e-43	88.0785365996831
"CCT4"	-0.131689633047903	0.572587903665594	-14.1196085545782	3.83260736583314e-45	5.5529984375912e-43	87.543931085782
"CYBA"	0.166766830592043	1.0783337753929	14.1106218729949	4.35053290372724e-45	6.26839282545366e-43	87.4178013385829
"MRPL18"	-0.132295492643078	0.512393009244649	-14.0851164802623	6.23145533206914e-45	8.92888364846482e-43	87.0602608172107
"LGALS1"	0.173031924607254	0.804686910413486	14.0521844045904	9.90069467194753e-45	1.41084899075252e-42	86.5995572984573
"RBPJ"	0.129249425832474	0.495559901430591	14.0353406663057	1.25409901944307e-44	1.77732557755498e-42	86.3643338407201
"MAP1LC3A"	-0.0768530050727973	0.164789888637751	-14.0170765536785	1.62001585906303e-44	2.28342996221737e-42	86.1095900245765
"MT-ND3"	-0.157592556549729	3.06128966036347	-13.9902938679253	2.35672766569992e-44	3.30387740594203e-42	85.7366241676841
"TNFAIP3"	-0.195087379670653	1.86207810248459	-13.979666063783	2.73415231047219e-44	3.81237850387614e-42	85.5888207425196
"ZFP36L1"	-0.186201137081466	1.37890782500179	-13.9480562286956	4.25028741986625e-44	5.89471680396958e-42	85.1498716260555
"UQCRB"	0.160785284180779	1.39364212627101	13.9435642816696	4.52491817370996e-44	6.24222089548766e-42	85.0875740629623
"MYO1F"	0.0838393509747813	0.200404323788012	13.9019582432868	8.07363990016055e-44	1.10788280852203e-41	84.5114946090458
"RPSA"	0.149539976249033	2.63668304204691	13.8975564779792	8.58281486412298e-44	1.17155422895279e-41	84.4506471155637
"LCP1"	0.144471619538091	0.781915729034597	13.8478345456627	1.71033591599276e-43	2.31914069341513e-41	83.7646429389183
"FKBP4"	-0.0980394599505564	0.275071199577815	-13.8475583174833	1.71688842543168e-43	2.31914069341513e-41	83.7608386628179
"BRK1"	0.137438592395604	0.73661588159065	13.7888119742325	3.86529466200682e-43	5.19411487353093e-41	82.9534763394495
"AHSA1"	-0.117290157024958	0.43170095051474	-13.7821928822614	4.23448881290343e-43	5.66090037951806e-41	82.8627216966676
"TBC1D10C"	0.123432619523163	0.525163522513235	13.757433444938	5.95432834226705e-43	7.91925669521518e-41	82.5236262033655
"H2AFZ"	-0.178721783850464	1.41857938624824	-13.7202142380289	9.92816147527407e-43	1.31370850949609e-40	82.0150214150465
"COX6B1"	0.145005820349647	0.917460134513591	13.6930243486057	1.4411244233223e-42	1.8972366456276e-40	81.6443299933739
"KDM6B"	-0.105044693661184	0.332857623832649	-13.6431645950262	2.84870395805422e-42	3.7313705632392e-40	80.9664607566111
"PPP1R18"	0.116301807858156	0.462403598227957	13.6393333347494	3.00154108862802e-42	3.91180744389787e-40	80.9144740000667
"DNAJB4"	-0.100452377924952	0.282939321407362	-13.626233687715	3.58840512923524e-42	4.6532643513358e-40	80.7368327063677
"GIMAP7"	0.127169525123469	0.502200852205117	13.6184847706631	3.98790693876198e-42	5.14559037098467e-40	80.631830926198
"ARID5A"	-0.11722903327171	0.467011350569427	-13.5852750065517	6.26511318581385e-42	8.04384705317238e-40	80.1824910480476
"DEDD2"	-0.108014279140033	0.362296029618585	-13.5830731270954	6.45534957370934e-42	8.24726557606658e-40	80.1527372102438
"ITGB7"	0.0794651433401749	0.202620578904984	13.5371930689943	1.20264665735015e-41	1.52895299305765e-39	79.533848988984
"LINC00152"	0.121873038785812	0.482703121050916	13.5023586522574	1.92620915889034e-41	2.43688948955224e-39	79.0653421810045
"TNFRSF18"	-0.123133054233892	0.388292851906551	-13.4644586824629	3.2113323055763e-41	4.04300501675346e-39	78.5569619902022
"FAM177A1"	-0.151450396357831	0.855692696615057	-13.4602402920985	3.39902823572961e-41	4.25863755041775e-39	78.5004650754023
"HSPB1"	-0.160918216770103	0.851689172925841	-13.3596409569026	1.31046849596599e-40	1.63399040590759e-38	77.1583290952478
"RPS2"	0.188969170659279	2.22105724446588	13.3534769137141	1.42297458017999e-40	1.7657820926779e-38	77.0764161433663
"MSN"	0.125614471502178	0.601774990569933	13.3518766008639	1.45372170466534e-40	1.7953463052617e-38	77.055155968397
"HNRNPA0"	-0.140743412836027	0.866376944978445	-13.346460752999	1.56276241237663e-40	1.92086460497572e-38	76.9832250764429
"CPNE7"	0.0612092194924586	0.112441097637766	13.324635890152	2.09097953838065e-40	2.55799784565576e-38	76.693649666925
"ATP5O"	0.0840026010850646	0.21285208279003	13.2501240097386	5.63063302996468e-40	6.85589049916122e-38	75.7085502594987
"EBI3"	-0.0329220578462034	0.0321215604631912	-13.2292038148415	7.42880635798025e-40	9.00308845300083e-38	75.4329538247528
"TMSB10"	0.112642389677904	3.54759993212047	13.1807168889838	1.40983054406588e-39	1.70064907722552e-37	74.7958590460793
"TRG-AS1"	0.0704563405357369	0.14964556400062	13.1743443588358	1.53342331679709e-39	1.84117285745984e-37	74.7122992796195
"SOD1"	-0.16727188337589	1.55020363851536	-13.1730404893042	1.5600090809601e-39	1.86446246611522e-37	74.6952072279672
"PCBP1"	-0.138111824240109	0.783874115257415	-13.1606140560264	1.83753693754931e-39	2.18607892088721e-37	74.5323967260327
"EMD"	-0.122562817796556	0.567823370667076	-13.1392032621302	2.43558323146843e-39	2.88433110082802e-37	74.2522304755553
"IDH2"	0.103688858769678	0.38398039748779	13.1223506946647	3.03935579476482e-39	3.58298602441935e-37	74.0320275662438
"NFKBIA"	-0.18499349904459	1.53969427287634	-13.1046923151856	3.83203342406475e-39	4.4970039300054e-37	73.8015957975724
"ELL2"	-0.0904829912747156	0.260098769876912	-13.0535430217816	7.48543452351836e-39	8.74480830484003e-37	73.1358607202292
"ANXA5"	0.108754095299869	0.430548650823697	13.0396911002381	8.96963394356166e-39	1.04317244989359e-36	72.9560142816483
