"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.64544829441242,0.44,0.014,0,"10","CENPA"
0,4.98033932381617,0.415,0.008,0,"10","PBK"
0,4.89175459136548,0.384,0.009,0,"10","DEPDC1"
0,4.91830997355687,0.342,0.008,0,"10","NEK2"
0,4.64662539185766,0.267,0.007,0,"10","TTK"
0,6.60261957773596,0.986,0.128,0,"11","COL1A1"
0,6.46333597983958,0.917,0.061,0,"11","POSTN"
0,8.13971531984579,0.656,0.03,0,"11","MMP11"
0,8.0385792746625,0.575,0.005,0,"11","COL10A1"
0,9.49790918907032,0.383,0.002,0,"11","COL11A1"
0,7.85515929025311,0.373,0.002,0,"11","LRRC15"
0,6.93713377323329,0.348,0.006,0,"11","COMP"
0,7.56381735408188,0.328,0.002,0,"11","PLPP4"
0,7.36060189754441,0.324,0.003,0,"11","FNDC1"
0,6.96285477194105,0.276,0.002,0,"11","RP11-417E7.2"
0,6.74230734316543,0.69,0.02,0,"12","MYH11"
0,7.53405703637069,0.625,0.009,0,"12","PLN"
0,8.88554943128172,0.574,0.009,0,"12","RERGL"
0,7.06851892346114,0.485,0.007,0,"12","WFDC1"
0,7.67510212497874,0.446,0.003,0,"12","CASQ2"
0,7.20051317602752,0.321,0.003,0,"12","SGCA"
0,6.35809869790853,0.323,0.006,0,"12","FHL5"
0,6.7110965006756,0.309,0.007,0,"12","KCNAB1"
0,6.14995040286293,0.302,0.006,0,"12","OR51E1"
0,5.95392057571563,0.273,0.006,0,"12","NRIP2"
0,5.63948330282151,0.987,0.088,0,"13","DCN"
0,6.3496901422924,0.919,0.164,0,"13","APOD"
0,5.65347422539259,0.599,0.07,0,"13","C3"
0,6.25347543394496,0.432,0.013,0,"13","ABCA6"
0,6.27022268139126,0.409,0.015,0,"13","GPC3"
0,6.00697837073311,0.387,0.011,0,"13","OGN"
0,6.45379722839627,0.374,0.01,0,"13","ABCA8"
0,6.66274438161222,0.308,0.004,0,"13","FIGF"
0,6.08636939253906,0.313,0.01,0,"13","SVEP1"
0,6.90657106799324,0.269,0.006,0,"13","ADH1B"
0,7.87067787608981,0.834,0.011,0,"14","MS4A1"
0,5.42863650156188,0.793,0.047,0,"14","CD79A"
0,8.25286613420668,0.528,0.008,0,"14","BANK1"
0,8.64043158506573,0.412,0.004,0,"14","VPREB3"
0,5.15880413867256,0.395,0.038,0,"14","ADAM28"
0,7.00170999952371,0.363,0.015,0,"14","LINC00926"
0,7.31623988501326,0.331,0.006,0,"14","CD19"
0,6.92061943423561,0.281,0.006,0,"14","TNFRSF13C"
0,8.0934440445847,0.277,0.004,0,"14","FCRLA"
0,6.90939911712241,0.255,0.004,0,"14","BLK"
0,2.24252971880623,0.736,0.254,0,"15","MGST1"
0,2.34970446839952,0.706,0.251,0,"15","KRT7"
1.41261970103317e-304,2.52241838494685,0.416,0.182,3.66362919462954e-300,"15","PFN2"
3.93081675586031e-272,2.23639463726937,0.523,0.296,1.01945732563237e-267,"15","HMGA1"
1.07996297332289e-265,3.36366077171274,0.271,0.091,2.80088397131292e-261,"15","S100P"
1.77346149316202e-258,2.22397827625889,0.473,0.255,4.59947238251569e-254,"15","S100A16"
5.33208949870891e-245,2.36188694862471,0.274,0.096,1.38287741149016e-240,"15","CDKN2A"
1.4959429412335e-169,2.60888244590211,0.27,0.117,3.87972801808909e-165,"15","HMGB3"
5.06115236968355e-137,2.30343742590113,0.297,0.154,1.31260986707743e-132,"15","NME1"
1.42514665744582e-105,4.14619000764433,0.27,0.146,3.69611785608573e-101,"15","S100A9"
0,5.54820490853929,0.672,0.037,0,"16","IL1B"
0,7.29365624142084,0.574,0.011,0,"16","FCN1"
0,5.68035249956987,0.511,0.016,0,"16","LGALS2"
0,5.66030062388194,0.419,0.016,0,"16","CLEC10A"
0,5.38581102187259,0.435,0.049,0,"16","G0S2"
0,6.29478133441906,0.352,0.012,0,"16","EREG"
0,5.35953732935306,0.32,0.015,0,"16","TREM1"
0,5.61492903854315,0.295,0.011,0,"16","CFP"
0,6.34408182058309,0.284,0.005,0,"16","CD300E"
0,6.01436063986993,0.283,0.01,0,"16","APOBEC3A"
0,2.13033975210759,0.814,0.229,0,"17","IL7R"
0,2.14867643601972,0.666,0.202,0,"17","LTB"
0,2.60741444840631,0.496,0.093,0,"17","CCR7"
0,2.55261990511871,0.444,0.11,0,"17","SELL"
0,2.22379826353005,0.491,0.171,0,"17","GIMAP7"
0,2.48648301743043,0.277,0.047,0,"17","CD40LG"
8.52732556264551e-273,2.03284698621829,0.28,0.08,2.21156188467211e-268,"17","CAMK4"
5.957370086628e-267,2.49310299162975,0.296,0.095,1.54504393196697e-262,"17","TCF7"
5.38045346910646e-261,2.44636371466318,0.256,0.074,1.39542060721276e-256,"17","LEF1"
2.8769788563542e-249,2.00887750112698,0.417,0.183,7.46144466395461e-245,"17","GIMAP4"
0,5.96087050646813,0.859,0.047,0,"18","RGS5"
0,5.43491721377214,0.576,0.023,0,"18","COX4I2"
0,5.59799653705216,0.552,0.018,0,"18","HIGD1B"
0,5.84563366467748,0.525,0.021,0,"18","KCNJ8"
0,5.31799749276923,0.544,0.052,0,"18","STEAP4"
0,5.53994612666229,0.493,0.027,0,"18","CCDC102B"
0,5.99624014722379,0.456,0.014,0,"18","ABCC9"
0,5.83582949842146,0.455,0.014,0,"18","FAM162B"
0,5.09672894213817,0.384,0.02,0,"18","GJC1"
0,5.0984857968876,0.267,0.011,0,"18","EBF2"
0,5.45959724412574,0.693,0.068,0,"19","RBP7"
0,5.93660842959736,0.55,0.016,0,"19","KDR"
0,5.7754079539017,0.495,0.017,0,"19","PCDH17"
0,5.84635960209831,0.463,0.012,0,"19","BTNL9"
0,5.24137485750718,0.361,0.016,0,"19","AFAP1L1"
0,5.59846455169314,0.357,0.013,0,"19","HECW2"
0,5.29279032244547,0.352,0.013,0,"19","PCDH12"
0,5.47385914793274,0.349,0.011,0,"19","BCL6B"
0,6.64963471417232,0.275,0.004,0,"19","CD300LG"
0,6.12222893619752,0.27,0.006,0,"19","F2RL3"
0,3.13110362552576,0.453,0.114,0,"20","ANKRD30A"
0,2.85204493959475,0.419,0.113,0,"20","PIP"
0,2.18687234194207,0.421,0.124,0,"20","AGR3"
7.13015347247843e-265,2.63030882611391,0.356,0.126,1.84920530308728e-260,"20","MUC1"
4.570826759911e-261,2.14797646819031,0.437,0.181,1.18544392018292e-256,"20","SMIM22"
4.43771542291972e-257,2.90036828564221,0.301,0.092,1.15092149493423e-252,"20","SCGB1D2"
1.0152501393716e-255,2.85137650478789,0.299,0.093,2.63305123646025e-251,"20","ESR1"
1.01889775527008e-238,2.80604647690341,0.385,0.153,2.64251132829295e-234,"20","SCGB2A2"
4.18425539852407e-166,2.27176070798592,0.255,0.091,1.08518663760722e-161,"20","STC2"
1.44158427640372e-105,2.18251520352924,0.251,0.114,3.73874882085304e-101,"20","LRRC26"
0,5.15692875967825,0.702,0.041,0,"21","MKI67"
0,5.14011265570343,0.563,0.034,0,"21","TOP2A"
0,5.28617105828742,0.48,0.027,0,"21","ASPM"
0,5.26088770913955,0.446,0.024,0,"21","CCNA2"
0,5.43224141342805,0.384,0.017,0,"21","CKAP2L"
