"Gene.ID"	"gene_sample"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"change"
"1"	"ENSG00000003989"	"SLC7A2"	0.640200471389895	1.21208075803097	4.09189950317154	6.01070204454827e-05	0.0171370461016893	-0.0850286965909302	"up"
"2"	"ENSG00000007062"	"PROM1"	-0.679968464265132	2.66892992809537	-2.69379685213828	0.00761023339642889	0.221206617883712	-4.60017363209911	"down"
"3"	"ENSG00000011600"	"TYROBP"	-0.537934212472993	8.53341879148658	-4.19465386659732	3.96679482314475e-05	0.0144821836426996	0.311298097678877	"down"
"4"	"ENSG00000023445"	"BIRC3"	-0.543915742723585	3.93988454807245	-3.13706246981224	0.00194036841179472	0.10775249568682	-3.35162041817221	"down"
"5"	"ENSG00000024526"	"DEPDC1"	-0.696358035571263	2.86827718579146	-3.98668169201939	9.12389011552323e-05	0.0213492415250497	-0.482100281216758	"down"
"6"	"ENSG00000026751"	"SLAMF7"	-0.666686782421225	2.16465349108404	-4.00137675281667	8.6115825273477e-05	0.0210140461506719	-0.42718005715087	"down"
"7"	"ENSG00000029153"	"ARNTL2"	-0.665697260451289	1.99227477954019	-4.00519350206522	8.48306736541838e-05	0.0210140461506719	-0.412887060645815	"down"
"8"	"ENSG00000043462"	"LCP2"	-0.555801558582362	2.50186916310432	-4.99436479903891	1.20318144857203e-06	0.00236104306258119	3.67369782055187	"down"
"9"	"ENSG00000049540"	"ELN"	0.66867206677718	4.20031907609769	2.85872820831804	0.00466311712306213	0.173220544399701	-4.15616301509774	"up"
"10"	"ENSG00000063660"	"GPC1"	0.649146732550225	3.04643776307488	4.38828172300234	1.77470582308742e-05	0.00941919818602084	1.08075161891677	"up"
"11"	"ENSG00000065054"	"SLC9A3R2"	0.590463224346603	4.66552596964673	3.95312645322876	0.000104045122134053	0.0225179738889946	-0.606851402512165	"up"
"12"	"ENSG00000065328"	"MCM10"	-0.509422336532343	1.72193452752499	-3.73284097763857	0.000241232956920801	0.0356694674438084	-1.40296357102782	"down"
"13"	"ENSG00000066279"	"ASPM"	-0.653639607072947	2.74613680422512	-4.53014822528407	9.67531784730148e-06	0.00680961435159079	1.66296304572947	"down"
"14"	"ENSG00000067836"	"ROGDI"	0.556779553267691	3.63118595628318	4.46866307742126	1.26073534693104e-05	0.0079167455865419	1.40873634024928	"up"
"15"	"ENSG00000073792"	"IGF2BP2"	-0.574128080784038	1.13102564720262	-4.12615168658939	5.23771547694273e-05	0.0160178862403958	0.0461488885261279	"down"
"16"	"ENSG00000074410"	"CA12"	1.20955869474024	4.22714774773407	4.02658777677182	7.79581000797608e-05	0.0199770739339311	-0.332551858770832	"up"
"17"	"ENSG00000076344"	"RGS11"	0.603832636638047	1.14518096230386	5.05708827809384	8.97543268301582e-07	0.00211353488819656	3.95744364902325	"up"
"18"	"ENSG00000078589"	"P2RY10"	-0.631913210473864	2.60268096010897	-3.29783207630298	0.0011365211289713	0.0820944771319517	-2.85580883219252	"down"
"19"	"ENSG00000081237"	"PTPRC"	-0.639822299084323	3.70722218077999	-2.58072812822349	0.0105107010450173	0.259712474510039	-4.89029105437619	"down"
"20"	"ENSG00000081923"	"ATP8B1"	0.549588477321253	4.20413943480151	4.16261081480555	4.51948444993096e-05	0.0148845901855908	0.186806170597793	"up"
"21"	"ENSG00000081985"	"IL12RB2"	-0.565202952429062	1.14921408387153	-4.25668653961358	3.07491517762328e-05	0.0120680171004455	0.554610123413873	"down"
"22"	"ENSG00000082175"	"PGR"	0.94051459236616	1.75546978786175	3.89245346684794	0.000131649673165437	0.0259052851814174	-0.830096027074965	"up"
"23"	"ENSG00000084444"	"KIAA1467"	0.678328158779158	1.59084500176272	3.69812622737175	0.000274481814639584	0.0380726947597159	-1.52476742133	"up"
"24"	"ENSG00000084628"	"NKAIN1"	0.686645866737792	1.50002780909067	3.01215676583721	0.00289827881388588	0.132136409711107	-3.7211769003033	"up"
"25"	"ENSG00000085831"	"TTC39A"	0.522200939923814	3.47551127408019	2.65588870946468	0.00849028329213967	0.233698645193811	-4.69874050370374	"up"
"26"	"ENSG00000088726"	"TMEM40"	-0.604262293425412	2.76892815937274	-2.49735660704032	0.01324663696838	0.292683261975987	-5.09670792786054	"down"
"27"	"ENSG00000089685"	"BIRC5"	-0.58273599180329	4.17360048779945	-3.38121203171583	0.000854217293614491	0.0702768043419748	-2.58983144289928	"down"
"28"	"ENSG00000090006"	"LTBP4"	0.512351513609122	3.5824957812458	3.15367654258905	0.00183778361455036	0.104945075825165	-3.30142911044231	"up"
"29"	"ENSG00000090382"	"LYZ"	-0.981121695246408	8.17112459777205	-5.54098200939322	8.57381290723186e-08	0.00115550432441292	6.23872558629399	"down"
"30"	"ENSG00000091651"	"ORC6"	-0.595651076103101	2.47644163789621	-4.06874639362566	6.59356551761697e-05	0.0181596819659467	-0.173167890207848	"down"
"31"	"ENSG00000091831"	"ESR1"	1.3207538493134	2.05138708244024	5.02108002927358	1.06233867563961e-06	0.00227417737581468	3.7942074669852	"up"
"32"	"ENSG00000092068"	"SLC7A8"	0.656802216383747	2.51412463338089	3.70578573255894	0.000266793661298013	0.0378461273267808	-1.49797875755797	"up"
"33"	"ENSG00000094755"	"GABRP"	-0.673567768091123	1.86046938227432	-2.60231488266118	0.00989034282043655	0.251638948476052	-4.83580503571319	"down"
"34"	"ENSG00000100368"	"CSF2RB"	-0.533236742123155	2.53163072603822	-4.27045321423	2.90482119739458e-05	0.0120464052863546	0.609018109048701	"down"
